Condition,Cases,Percent
Dice >= 0.90,3,0.6896551724137931
Dice >= 0.85,19,4.367816091954023
Dice >= 0.80,53,12.183908045977011
Dice >= 0.75,118,27.126436781609197
Dice >= 0.70,165,37.93103448275862
Dice >= 0.65,211,48.50574712643678
Dice >= 0.60,240,55.172413793103445
Dice >= 0.50,292,67.1264367816092
Dice >= 0.40,319,73.33333333333333
Dice >= 0.30,341,78.39080459770115
Dice >= 0.20,351,80.6896551724138
Dice >= 0.10,360,82.75862068965517
Dice == 0.00,62,14.25287356321839
Dice < 0.10,75,17.24137931034483
