File,Dice
1.1.nii.gz,0.8506
10.1.nii.gz,0.8815
100.1.nii.gz,0.7733
101.1.nii.gz,0.853
102.1.nii.gz,0.8441
103.1.nii.gz,0.784
104.1.nii.gz,0.8405
105.1.nii.gz,0.7582
106.1.nii.gz,0.7323
107.1.nii.gz,0.8313
108.1.nii.gz,0.8604
109.1.nii.gz,0.8122
11.1.nii.gz,0.8559
110.1.nii.gz,0.5427
111.1.nii.gz,0.5902
112.1.nii.gz,0.8877
113.1.nii.gz,0.7775
114.1.nii.gz,0.8411
115.1.nii.gz,0.8725
116.1.nii.gz,0.8355
117.1.nii.gz,0.2261
118.1.nii.gz,0.8568
119.1.nii.gz,0.5635
12.1.nii.gz,0.2056
120.1.nii.gz,0.7093
121.1.nii.gz,0.7792
122.1.nii.gz,0.8935
123.1.nii.gz,0.7173
124.1.nii.gz,0.8336
125.1.nii.gz,0.7381
126.1.nii.gz,0.6661
127.1.nii.gz,0.6731
128.1.nii.gz,0.6906
129.1.nii.gz,0.3863
13.1.nii.gz,0.7765
130.1.nii.gz,0.5359
131.1.nii.gz,0.0984
132.1.nii.gz,0.0156
133.1.nii.gz,0.8086
134.1.nii.gz,1.0
135.1.nii.gz,0.889
136.1.nii.gz,0.8273
137.1.nii.gz,0.7928
138.1.nii.gz,0.1886
139.1.nii.gz,0.0061
14.1.nii.gz,0.5428
140.1.nii.gz,0.819
141.1.nii.gz,0.2647
142.1.nii.gz,0.6775
143.1.nii.gz,0.7995
144.1.nii.gz,0.4691
145.1.nii.gz,0.445
146.1.nii.gz,0.7107
147.1.nii.gz,0.8549
148.1.nii.gz,0.7495
149.1.nii.gz,0.0915
15.1.nii.gz,0.7961
150.1.nii.gz,0.8893
151.1.nii.gz,0.8066
152.1.nii.gz,0.8307
153.1.nii.gz,0.8708
154.1.nii.gz,0.3447
155.1.nii.gz,0.7729
156.1.nii.gz,0.2386
157.1.nii.gz,0.0031
158.1.nii.gz,0.8268
159.1.nii.gz,0.789
16.1.nii.gz,0.7947
160.1.nii.gz,0.488
161.1.nii.gz,0.5644
162.1.nii.gz,0.6262
163.1.nii.gz,0.5
164.1.nii.gz,0.7042
165.1.nii.gz,0.6898
166.1.nii.gz,0.005
167.1.nii.gz,0.7753
168.1.nii.gz,0.0041
169.1.nii.gz,0.7622
17.1.nii.gz,0.8298
170.1.nii.gz,0.6693
171.1.nii.gz,0.0049
172.1.nii.gz,0.0137
173.1.nii.gz,0.634
174.1.nii.gz,0.8796
175.1.nii.gz,0.8217
176.1.nii.gz,0.6591
177.1.nii.gz,0.8241
178.1.nii.gz,0.7154
179.1.nii.gz,0.6211
18.1.nii.gz,0.8527
180.1.nii.gz,0.8405
181.1.nii.gz,0.805
182.1.nii.gz,0.8528
