File,Dice
1.1.nii.gz,0.0
10.1.nii.gz,0.0001
100.1.nii.gz,0.0001
101.1.nii.gz,0.0011
102.1.nii.gz,0.0
103.1.nii.gz,0.0003
104.1.nii.gz,0.0019
105.1.nii.gz,0.0
106.1.nii.gz,0.0
107.1.nii.gz,0.0001
108.1.nii.gz,0.0
109.1.nii.gz,0.0
11.1.nii.gz,0.0002
110.1.nii.gz,0.0
111.1.nii.gz,0.0
112.1.nii.gz,0.0005
113.1.nii.gz,0.0
114.1.nii.gz,0.0013
115.1.nii.gz,0.0167
116.1.nii.gz,0.0013
117.1.nii.gz,0.0
118.1.nii.gz,0.0
119.1.nii.gz,0.0053
12.1.nii.gz,0.0
120.1.nii.gz,0.0
121.1.nii.gz,0.0043
122.1.nii.gz,0.0
123.1.nii.gz,0.0
124.1.nii.gz,0.0
125.1.nii.gz,0.0004
126.1.nii.gz,0.0004
127.1.nii.gz,0.001
128.1.nii.gz,0.0002
129.1.nii.gz,0.0
13.1.nii.gz,0.0002
130.1.nii.gz,0.0
131.1.nii.gz,0.0015
132.1.nii.gz,0.0
133.1.nii.gz,0.0004
134.1.nii.gz,0.0
135.1.nii.gz,0.0
136.1.nii.gz,0.0001
137.1.nii.gz,0.0001
138.1.nii.gz,0.0018
139.1.nii.gz,0.0008
14.1.nii.gz,0.0042
140.1.nii.gz,0.0
141.1.nii.gz,0.0
142.1.nii.gz,0.0032
143.1.nii.gz,0.0
144.1.nii.gz,0.0
145.1.nii.gz,0.0
146.1.nii.gz,0.0
147.1.nii.gz,0.0011
148.1.nii.gz,0.0
149.1.nii.gz,0.0031
15.1.nii.gz,0.0
150.1.nii.gz,0.0
151.1.nii.gz,0.0001
152.1.nii.gz,0.0
153.1.nii.gz,0.0
154.1.nii.gz,0.002
155.1.nii.gz,0.0001
156.1.nii.gz,0.0
157.1.nii.gz,0.0008
158.1.nii.gz,0.0
159.1.nii.gz,0.0
16.1.nii.gz,0.0
160.1.nii.gz,0.0
161.1.nii.gz,0.0
162.1.nii.gz,0.0
163.1.nii.gz,0.0
164.1.nii.gz,0.0
165.1.nii.gz,0.0017
166.1.nii.gz,0.0016
167.1.nii.gz,0.0
168.1.nii.gz,0.0022
169.1.nii.gz,0.0001
17.1.nii.gz,0.0
170.1.nii.gz,0.0
171.1.nii.gz,0.0008
172.1.nii.gz,0.0006
173.1.nii.gz,0.0001
174.1.nii.gz,0.0001
175.1.nii.gz,0.0
176.1.nii.gz,0.0
177.1.nii.gz,0.0
178.1.nii.gz,0.0
179.1.nii.gz,0.0
18.1.nii.gz,0.0
180.1.nii.gz,0.0001
181.1.nii.gz,0.0001
182.1.nii.gz,0.0001
183.1.nii.gz,0.0011
184.1.nii.gz,0.0001
185.1.nii.gz,0.0012
186.1.nii.gz,0.0003
187.1.nii.gz,0.0
188.1.nii.gz,0.0005
189.1.nii.gz,0.0
19.1.nii.gz,0.0029
190.1.nii.gz,0.0001
191.1.nii.gz,0.0
192.1.nii.gz,0.0
193.1.nii.gz,0.0001
194.1.nii.gz,0.0001
195.1.nii.gz,0.0022
196.1.nii.gz,0.0003
197.1.nii.gz,0.0
198.1.nii.gz,0.0
199.1.nii.gz,0.0002
2.1.nii.gz,0.0002
20.1.nii.gz,0.0015
200.1.nii.gz,0.0011
201.1.nii.gz,0.0
202.1.nii.gz,0.0
203.1.nii.gz,0.0
204.1.nii.gz,0.0
