File,Dice
1.1.nii.gz,0.0007
10.1.nii.gz,0.0015
100.1.nii.gz,0.0004
101.1.nii.gz,0.0006
102.1.nii.gz,0.0004
103.1.nii.gz,0.0005
104.1.nii.gz,0.0003
105.1.nii.gz,0.0004
106.1.nii.gz,0.0002
107.1.nii.gz,0.0003
108.1.nii.gz,0.0009
109.1.nii.gz,0.0006
11.1.nii.gz,0.0007
110.1.nii.gz,0.0003
111.1.nii.gz,0.0004
112.1.nii.gz,0.0012
113.1.nii.gz,0.0003
114.1.nii.gz,0.001
115.1.nii.gz,0.0024
116.1.nii.gz,0.0006
117.1.nii.gz,0.0002
118.1.nii.gz,0.0009
119.1.nii.gz,0.0015
12.1.nii.gz,0.0003
120.1.nii.gz,0.0004
121.1.nii.gz,0.0003
122.1.nii.gz,0.0004
123.1.nii.gz,0.0005
124.1.nii.gz,0.0006
125.1.nii.gz,0.0006
126.1.nii.gz,0.0007
127.1.nii.gz,0.0014
128.1.nii.gz,0.0001
129.1.nii.gz,0.0003
13.1.nii.gz,0.0004
130.1.nii.gz,0.0005
131.1.nii.gz,0.0006
132.1.nii.gz,0.0001
133.1.nii.gz,0.0007
134.1.nii.gz,0.0
135.1.nii.gz,0.0006
136.1.nii.gz,0.0007
137.1.nii.gz,0.0008
138.1.nii.gz,0.0002
139.1.nii.gz,0.0003
14.1.nii.gz,0.0004
140.1.nii.gz,0.0009
141.1.nii.gz,0.0001
142.1.nii.gz,0.0001
143.1.nii.gz,0.0011
144.1.nii.gz,0.0002
145.1.nii.gz,0.0003
146.1.nii.gz,0.0004
147.1.nii.gz,0.0003
148.1.nii.gz,0.0003
149.1.nii.gz,0.0006
15.1.nii.gz,0.0003
150.1.nii.gz,0.001
151.1.nii.gz,0.0009
152.1.nii.gz,0.0003
153.1.nii.gz,0.0007
154.1.nii.gz,0.0001
155.1.nii.gz,0.0009
156.1.nii.gz,0.0001
157.1.nii.gz,0.0006
158.1.nii.gz,0.0004
159.1.nii.gz,0.0003
16.1.nii.gz,0.0004
160.1.nii.gz,0.0004
161.1.nii.gz,0.0002
162.1.nii.gz,0.0002
163.1.nii.gz,0.0001
164.1.nii.gz,0.0003
165.1.nii.gz,0.0009
166.1.nii.gz,0.0002
167.1.nii.gz,0.0006
168.1.nii.gz,0.0004
169.1.nii.gz,0.0005
17.1.nii.gz,0.0007
170.1.nii.gz,0.0007
171.1.nii.gz,0.0002
172.1.nii.gz,0.0001
173.1.nii.gz,0.0003
174.1.nii.gz,0.0013
175.1.nii.gz,0.0004
176.1.nii.gz,0.0006
177.1.nii.gz,0.0006
178.1.nii.gz,0.0006
179.1.nii.gz,0.0001
18.1.nii.gz,0.001
180.1.nii.gz,0.0006
181.1.nii.gz,0.0006
182.1.nii.gz,0.0007
183.1.nii.gz,0.0003
184.1.nii.gz,0.0004
185.1.nii.gz,0.0004
186.1.nii.gz,0.0006
187.1.nii.gz,0.0001
188.1.nii.gz,0.0002
189.1.nii.gz,0.0005
19.1.nii.gz,0.0004
190.1.nii.gz,0.0003
191.1.nii.gz,0.0005
192.1.nii.gz,0.0004
193.1.nii.gz,0.0004
194.1.nii.gz,0.0005
195.1.nii.gz,0.0006
196.1.nii.gz,0.0004
197.1.nii.gz,0.0004
198.1.nii.gz,0.0003
199.1.nii.gz,0.0012
2.1.nii.gz,0.0005
20.1.nii.gz,0.0006
200.1.nii.gz,0.0006
201.1.nii.gz,0.0004
202.1.nii.gz,0.0003
203.1.nii.gz,0.0005
204.1.nii.gz,0.0005
205.1.nii.gz,0.0006
206.1.nii.gz,0.0008
207.1.nii.gz,0.0001
208.1.nii.gz,0.0002
209.1.nii.gz,0.0005
21.1.nii.gz,0.0004
210.1.nii.gz,0.0008
211.1.nii.gz,0.001
212.1.nii.gz,0.0002
213.1.nii.gz,0.0006
214.1.nii.gz,0.0005
215.1.nii.gz,0.0005
216.1.nii.gz,0.001
217.1.nii.gz,0.0002
218.1.nii.gz,0.0
219.1.nii.gz,0.0003
22.1.nii.gz,0.0011
220.1.nii.gz,0.0011
221.1.nii.gz,0.0001
222.1.nii.gz,0.0004
223.1.nii.gz,0.0002
224.1.nii.gz,0.0006
225.1.nii.gz,0.0008
226.1.nii.gz,0.0011
227.1.nii.gz,0.0004
228.1.nii.gz,0.0002
229.1.nii.gz,0.0012
23.1.nii.gz,0.0006
230.1.nii.gz,0.0002
231.1.nii.gz,0.0008
232.1.nii.gz,0.0004
233.1.nii.gz,0.0006
234.1.nii.gz,0.0003
235.1.nii.gz,0.0007
236.1.nii.gz,0.0001
237.1.nii.gz,0.0002
238.1.nii.gz,0.0005
239.1.nii.gz,0.0004
24.1.nii.gz,0.0004
240.1.nii.gz,0.0002
241.1.nii.gz,0.0005
242.1.nii.gz,0.0008
243.1.nii.gz,0.0004
244.1.nii.gz,0.0005
245.1.nii.gz,0.0006
246.1.nii.gz,0.0004
247.1.nii.gz,0.0009
248.1.nii.gz,0.0004
249.1.nii.gz,0.0005
25.1.nii.gz,0.001
250.1.nii.gz,0.0013
251.1.nii.gz,0.0003
252.1.nii.gz,0.0002
253.1.nii.gz,0.0006
254.1.nii.gz,0.0005
255.1.nii.gz,0.0012
256.1.nii.gz,0.0005
257.1.nii.gz,0.0009
258.1.nii.gz,0.0002
259.1.nii.gz,0.0002
26.1.nii.gz,0.0007
260.1.nii.gz,0.0005
261.1.nii.gz,0.0002
262.1.nii.gz,0.0003
263.1.nii.gz,0.0006
264.1.nii.gz,0.0009
265.1.nii.gz,0.0006
266.1.nii.gz,0.0007
267.1.nii.gz,0.0008
268.1.nii.gz,0.0003
269.1.nii.gz,0.0001
27.1.nii.gz,0.0006
270.1.nii.gz,0.0007
271.1.nii.gz,0.0007
272.1.nii.gz,0.0002
273.1.nii.gz,0.0005
274.1.nii.gz,0.0002
275.1.nii.gz,0.0008
276.1.nii.gz,0.0004
277.1.nii.gz,0.0004
278.1.nii.gz,0.0007
279.1.nii.gz,0.0004
28.1.nii.gz,0.0003
281.1.nii.gz,0.0003
282.1.nii.gz,0.0005
283.1.nii.gz,0.0005
284.1.nii.gz,0.0001
285.1.nii.gz,0.0004
286.1.nii.gz,0.0001
287.1.nii.gz,0.0005
288.1.nii.gz,0.0004
289.1.nii.gz,0.0009
29.1.nii.gz,0.0008
290.1.nii.gz,0.0001
291.1.nii.gz,0.0005
292.1.nii.gz,0.0006
293.1.nii.gz,0.0001
294.1.nii.gz,0.0002
295.1.nii.gz,0.0007
296.1.nii.gz,0.0
297.1.nii.gz,0.0003
298.1.nii.gz,0.0005
299.1.nii.gz,0.0001
30.1.nii.gz,0.0007
300.1.nii.gz,0.0004
301.1.nii.gz,0.0002
302.1.nii.gz,0.0003
303.1.nii.gz,0.0003
304.1.nii.gz,0.0002
305.1.nii.gz,0.0005
306.1.nii.gz,0.0006
307.1.nii.gz,0.0004
308.1.nii.gz,0.0005
309.1.nii.gz,0.0004
31.1.nii.gz,0.0009
310.1.nii.gz,0.0004
311.1.nii.gz,0.0013
312.1.nii.gz,0.0005
313.1.nii.gz,0.0005
314.1.nii.gz,0.0009
315.1.nii.gz,0.0007
316.1.nii.gz,0.0003
317.1.nii.gz,0.0009
318.1.nii.gz,0.0004
319.1.nii.gz,0.0003
32.1.nii.gz,0.0003
320.1.nii.gz,0.0006
321.1.nii.gz,0.0007
322.1.nii.gz,0.0005
323.1.nii.gz,0.0003
324.1.nii.gz,0.0002
325.1.nii.gz,0.0005
326.1.nii.gz,0.0005
327.1.nii.gz,0.0002
328.1.nii.gz,0.0001
329.1.nii.gz,0.001
33.1.nii.gz,0.0006
330.1.nii.gz,0.0005
331.1.nii.gz,0.0003
332.1.nii.gz,0.0003
333.1.nii.gz,0.0003
334.1.nii.gz,0.0004
335.1.nii.gz,0.0004
336.1.nii.gz,0.0012
337.1.nii.gz,0.0003
338.1.nii.gz,0.0007
339.1.nii.gz,0.0003
34.1.nii.gz,0.0006
340.1.nii.gz,0.0004
341.1.nii.gz,0.0007
342.1.nii.gz,0.0002
343.1.nii.gz,0.0005
344.1.nii.gz,0.0008
345.1.nii.gz,0.0003
346.1.nii.gz,0.0003
347.1.nii.gz,0.0007
348.1.nii.gz,0.0005
349.1.nii.gz,0.0012
