file,rows,cols,columns_preview
BEST_DICE_CASES.csv,20,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
DICE_FILTERED_SUBSET_ANALYSIS.csv,9,8,Subset | Cases | Mean Dice | Median Dice | Mean HD95 | Median HD95 | Mean Sensitivity | Mean Precision
DICE_THRESHOLD_COUNTS.csv,14,3,Condition | Cases | Percent
FINAL_BINARY_FINE_TUNED_128_T02.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
FINAL_BINARY_FINE_TUNED_128_T02_TEMP.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
FINAL_BINARY_FINE_TUNED_80_T01.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
FINAL_BINARY_FINE_TUNED_80_T02.csv,435,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
FINAL_REPORT_ALIGNED.csv,10,12,Patient_ID | Dice | HD95 | GT_Voxels | Pred_Voxels | Overlap_Voxels | Prob_WT_Max | Prob_WT_Mean | Vox_WT_gt_LOW_WT | Image_Path | Label_Path | Error
FINAL_REPORT_ALIGNED_CLEAN.csv,435,11,Patient_ID | Dice | HD95 | GT_Voxels | Pred_Voxels | Overlap_Voxels | Prob_WT_Max | Prob_WT_Mean | Vox_WT_gt_LOW_WT | Image_Path | Label_Path
TEST_OOM_SAFE_64.csv,5,15,Patient_ID | Dice | HD95 | GT_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Max | Prob_Mean | Voxels_Above_Threshold | Binary_Channel | Threshold | Target_Shape | Image_Path | Label_Path | Error
WORST_DICE_CASES.csv,20,20,Patient_ID | Dice | HD95 | Sensitivity | Precision | GT_Voxels | Pred_Raw_Voxels | Pred_Voxels | Overlap_Voxels | Prob_Min | Prob_Max | Prob_Mean | Prob_Std | Voxels_Above_Threshold | Binary_Channel
aggregate_summary.csv,7,3,Metric | Mean | Std
classification_results.csv,116,5,BraTS21ID | true_label | pred_label | prob_class1 | dice_mean
csv_scan_report.csv,59,4,file | rows | cols | columns
delta_vs_ens_all_three.csv,29,17,__id__ | Dice_ET_base | Dice_TC_base | Dice_WT_base | HD95_ET | HD95_TC | HD95_WT | Failed | Overall_Dice_base | Dice_ET_cand | Dice_TC_cand | Dice_WT_cand | Overall_Dice_cand | delta_ET | delta_TC
