__id__,Dice_ET_base,Dice_TC_base,Dice_WT_base,HD95_ET,HD95_TC,HD95_WT,Failed,Overall_Dice_base,Dice_ET_cand,Dice_TC_cand,Dice_WT_cand,Overall_Dice_cand,delta_ET,delta_TC,delta_WT,delta_Overall_Dice
sub-043,1.0,0.2908,0.9376,,13.0767,1.0,0,0.7427999999999999,1.0,0.3126,0.9357,0.7494333333333333,0.0,0.021799999999999986,-0.0019000000000000128,0.00663333333333338
sub-134,1.0,0.7934,0.783,,2.4495,5.0,0,0.8588,1.0,0.7151,0.6861,0.8004000000000001,0.0,-0.07830000000000004,-0.09689999999999999,-0.058399999999999896
sub-009,1.0,0.3176,0.8902,,12.1326,1.0,0,0.7359333333333334,1.0,0.3501,0.8924,0.7475,0.0,0.03250000000000003,0.0021999999999999797,0.011566666666666614
sub-373,1.0,0.9104,0.7967,,1.0,3.1623,0,0.9023666666666667,1.0,0.9077,0.8009,0.9028666666666666,0.0,-0.0027000000000000357,0.0041999999999999815,0.0004999999999999449
sub-178,0.0,0.6809,0.7447,,5.1962,54.4748,0,0.4752,0.0,0.624,0.7362,0.45339999999999997,0.0,-0.05689999999999995,-0.008500000000000063,-0.02180000000000004
sub-384,1.0,0.6966,0.8775,,6.4031,2.0,0,0.8580333333333333,1.0,0.6969,0.8593,0.8520666666666665,0.0,0.00029999999999996696,-0.018199999999999994,-0.005966666666666787
sub-330,1.0,0.9351,0.9271,,1.0,1.0,0,0.9540666666666667,1.0,0.9267,0.9297,0.9521333333333333,0.0,-0.008400000000000074,0.0025999999999999357,-0.0019333333333334535
sub-251,0.0,0.673,0.602,,5.0,7.874,0,0.425,0.0,0.6822,0.5246,0.4022666666666666,0.0,0.009199999999999986,-0.07740000000000002,-0.022733333333333383
sub-270,1.0,0.6155,0.8739,,6.3246,1.0,0,0.8298,1.0,0.6168,0.8721,0.8296333333333333,0.0,0.0012999999999999678,-0.0018000000000000238,-0.0001666666666666483
sub-344,1.0,0.5488,0.9379,,4.1231,1.0,0,0.8289,1.0,0.5941,0.9443,0.8461333333333334,0.0,0.04530000000000001,0.006400000000000072,0.017233333333333434
sub-086,1.0,0.8022,0.8828,,1.7321,1.4142,0,0.895,1.0,0.777,0.8812,0.8860666666666667,0.0,-0.0252,-0.0016000000000000458,-0.008933333333333349
sub-008,1.0,0.7307,0.7157,,3.6056,7.2111,0,0.8154666666666667,1.0,0.714,0.737,0.8170000000000001,0.0,-0.016700000000000048,0.021299999999999986,0.0015333333333333865
sub-011,1.0,0.7415,0.9295,,5.3852,1.0,0,0.8903333333333334,1.0,0.7383,0.6788,0.8057,0.0,-0.0032000000000000917,-0.25070000000000003,-0.08463333333333345
sub-066,1.0,0.7289,0.7451,,9.4868,4.1231,0,0.8246666666666665,1.0,0.7345,0.7899,0.8414666666666667,0.0,0.005600000000000049,0.04480000000000006,0.016800000000000148
sub-380,1.0,0.0,0.0531,,,23.4521,1,0.3510333333333333,1.0,0.0,0.3667,0.4555666666666667,0.0,0.0,0.31360000000000005,0.10453333333333337
sub-367,1.0,0.9103,0.9187,,1.0,1.0,0,0.943,1.0,0.9051,0.9239,0.9430000000000001,0.0,-0.005199999999999982,0.0052000000000000934,1.1102230246251565e-16
sub-240,1.0,0.8535,0.7252,,1.0,4.899,0,0.8595666666666667,0.0,0.8505,0.7113,0.5206000000000001,-1.0,-0.0030000000000000027,-0.013899999999999912,-0.33896666666666664
sub-192,1.0,0.5637,0.8421,,6.3315,1.4142,0,0.8019333333333333,1.0,0.5664,0.8509,0.8057666666666666,0.0,0.0027000000000000357,0.00880000000000003,0.0038333333333333552
sub-062,1.0,0.8802,0.9147,,1.0,1.0,0,0.9316333333333332,1.0,0.8752,0.908,0.9277333333333333,0.0,-0.0050000000000000044,-0.006699999999999928,-0.0038999999999999035
sub-206,1.0,0.8197,0.8595,,3.3166,1.4142,0,0.8930666666666668,1.0,0.8167,0.6592,0.8253,0.0,-0.0030000000000000027,-0.20030000000000003,-0.06776666666666675
sub-253,1.0,0.708,0.7635,,3.6056,2.4495,0,0.8238333333333333,0.0,0.7109,0.7537,0.48819999999999997,-1.0,0.0029000000000000137,-0.00979999999999992,-0.33563333333333334
sub-275,1.0,0.7998,0.6425,,3.1623,5.3852,0,0.8140999999999999,1.0,0.802,0.3498,0.7172666666666667,0.0,0.0022000000000000908,-0.29269999999999996,-0.09683333333333322
sub-002,1.0,0.894,0.8964,,1.0,1.0,0,0.9301333333333334,0.0,0.8857,0.9013,0.5956666666666667,-1.0,-0.008299999999999974,0.0049000000000000155,-0.3344666666666667
sub-096,1.0,0.9628,0.8655,,0.0,5.0,0,0.9427666666666666,1.0,0.9613,0.8446,0.9353000000000001,0.0,-0.0014999999999999458,-0.02090000000000003,-0.0074666666666665105
