label,region,n,dice,dice_lo,dice_hi,hd95,hd95_lo,hd95_hi,n_failed,n_hd95_undefined,et_threshold,tc_threshold,wt_threshold,et_policy,et_min_volume,wt_policy,preprocessing
baseline_brats,ET,29,0.6989144261171286,0.5864340494905844,0.8000440712512193,3.928457858621835,2.0677484884867474,6.340934341018838,2,2,0.7,0.8,0.8,min_volume,0,components,brats
baseline_brats,TC,29,0.7172537424626941,0.5933813047659352,0.8317202478384705,4.868493195535195,2.9894079129373385,7.254224691985072,2,2,0.7,0.8,0.8,min_volume,0,components,brats
baseline_brats,WT,29,0.6741441955567397,0.5758265817049846,0.761380910728026,71.98142187108051,60.54398635188114,82.94428099698453,0,0,0.7,0.8,0.8,min_volume,0,components,brats
baseline_brats,MEAN,29,0.6967707880455208,0.5893506314947717,0.792842827096024,29.647158496491933,24.735466877720455,35.00069518336571,,,0.7,0.8,0.8,min_volume,0,components,brats
upenn_v3_best,ET,29,0.7754796522209592,0.6911860175069371,0.8458990248099435,3.8498314928029482,1.9883837018788237,6.104233036951798,1,1,0.5,0.6,0.8,min_volume,300,largest,upenn
upenn_v3_best,TC,29,0.8436105573437198,0.7648350319005585,0.9032856326111325,4.6284136743258975,2.7315013411926725,6.973115559337516,1,1,0.5,0.6,0.8,min_volume,300,largest,upenn
upenn_v3_best,WT,29,0.8018854009611175,0.7320721220900045,0.8633202020155099,10.595932872824246,6.657423672860638,15.000862588462423,0,0,0.5,0.6,0.8,min_volume,300,largest,upenn
upenn_v3_best,MEAN,29,0.8069918701752653,0.7356379565826163,0.8648382670610552,6.70013371224459,4.490844312388714,9.035821909212583,,,0.5,0.6,0.8,min_volume,300,largest,upenn
upenn_v3_last,ET,29,0.7720250580953161,0.6861279921613496,0.8448657914587185,2.7771338527002287,1.7769935160560029,3.8964489971529956,1,1,0.3,0.3,0.7,min_volume,0,components,upenn
upenn_v3_last,TC,29,0.8433515532711214,0.7651722973935831,0.9026573501135466,3.4718210446679487,2.3955304222045286,4.658997777556278,1,1,0.3,0.3,0.7,min_volume,0,components,upenn
upenn_v3_last,WT,29,0.8013187806052158,0.7271335943150935,0.8635961673817116,12.279531889100973,6.754108703244041,19.83094196726175,0,0,0.3,0.3,0.7,min_volume,0,components,upenn
upenn_v3_last,MEAN,29,0.8055651306572178,0.7304118633143686,0.8649062676019166,6.566398441318632,4.325987607620268,9.210647877100847,,,0.3,0.3,0.7,min_volume,0,components,upenn
ensemble_top5,ET,29,0.7774338887591802,0.6956323125809438,0.8464890085802699,2.842909248250701,1.8433420862686463,3.980244792429078,1,1,0.4,0.4,0.7,min_volume,0,components,upenn
ensemble_top5,TC,29,0.8462544944003831,0.7697698562676314,0.9042192517204426,3.708416600852901,2.6212460769397525,4.980435789811803,1,1,0.4,0.4,0.7,min_volume,0,components,upenn
ensemble_top5,WT,29,0.8049021037511236,0.7363024955150452,0.8640668904351059,11.736607186175844,6.513167364067411,19.041478242562977,0,0,0.4,0.4,0.7,min_volume,0,components,upenn
ensemble_top5,MEAN,29,0.8095301623035623,0.7392015035046358,0.8653775947073551,6.465251625122159,4.3113765019770804,9.067010581037643,,,0.4,0.4,0.7,min_volume,0,components,upenn
upenn_v4_best,ET,29,0.7987294499468646,0.7211945915673312,0.8642657465438897,2.247618608154666,1.3797621941830407,3.53955166941601,1,1,0.5,0.6,0.5,min_volume,0,components,brats
upenn_v4_best,TC,29,0.844142274995524,0.7622302649489126,0.9137468247179654,3.727783806073083,2.0924328508278127,5.742906722837692,0,0,0.5,0.6,0.5,min_volume,0,components,brats
upenn_v4_best,WT,29,0.7714244092793318,0.694868690303714,0.8398207880305641,24.05168463977622,13.582100837077512,35.84794145081919,0,0,0.5,0.6,0.5,min_volume,0,components,brats
upenn_v4_best,MEAN,29,0.8047653780739068,0.7345523707747398,0.86547382370199,10.275293401392444,6.6600593737547555,14.330557975024995,,,0.5,0.6,0.5,min_volume,0,components,brats
ensemble_v3_v4,ET,29,0.7882872090213621,0.7095871582892832,0.8568368783686694,2.9867551236266614,1.5856305014133336,4.743011765993086,0,0,0.5,0.6,0.5,min_volume,0,components,brats+upenn
ensemble_v3_v4,TC,29,0.8438678777460807,0.7609980432191625,0.9117299830357787,3.686736469315104,2.215099976310165,5.446965439102826,0,0,0.5,0.6,0.5,min_volume,0,components,brats+upenn
ensemble_v3_v4,WT,29,0.806299794856784,0.7450217287166799,0.8624834161007319,15.102928141795562,8.280292217757317,22.855867424682266,0,0,0.5,0.6,0.5,min_volume,0,components,brats+upenn
ensemble_v3_v4,MEAN,29,0.8128182938747424,0.7427653867228204,0.8705001585238201,7.2588065782457765,4.770580497410516,9.966516525608673,,,0.5,0.6,0.5,min_volume,0,components,brats+upenn
