label,region,n,dice,dice_lo,dice_hi,hd95,hd95_lo,hd95_hi,n_failed,n_hd95_undefined,config
baseline_brats,ET,29,0.7144190592748143,0.6019842137850946,0.8083901568051342,14.145958558132014,4.746121072790879,25.84565413313508,2,0,fixed
baseline_brats,TC,29,0.7418262807211606,0.6242706929969618,0.8426220187084863,20.81633575861883,10.447873489678631,33.11773472549482,2,0,fixed
baseline_brats,WT,29,0.6282312369781525,0.543405622543753,0.7091946514919626,88.95068354434697,83.00761890394209,94.95463252366403,0,0,fixed
baseline_brats,MEAN,29,0.6948255256580423,0.5984467387628732,0.77999558188943,41.30432595369926,34.401928327915066,49.91292977677015,,,fixed
upenn_v3_best,ET,29,0.7813548525548114,0.7039547120467349,0.8465574281682036,3.413109373091712,1.8893091311606398,5.458838632504502,1,1,fixed
upenn_v3_best,TC,29,0.849100011634255,0.772951352854716,0.9053431761434431,4.189651648440833,2.5771325597040775,6.418215932220826,1,1,fixed
upenn_v3_best,WT,29,0.8164002516435265,0.7675206301974761,0.8612153564473634,18.056784255227218,9.38626960101785,27.901265669807668,0,0,fixed
upenn_v3_best,MEAN,29,0.8156183719441974,0.7553909156513533,0.8636708547961474,8.891173954197106,5.568859940934395,12.772520011945428,,,fixed
upenn_v3_last,ET,29,0.7659341109050662,0.6816368942050733,0.8403690959646223,3.4001364822489757,2.055068957463253,4.933260958161139,1,1,fixed
upenn_v3_last,TC,29,0.8388378739004806,0.7600271055519802,0.8996281781087391,4.22109496830235,2.6932584612435435,6.167490681312556,1,1,fixed
upenn_v3_last,WT,29,0.8133615249152952,0.7537755457079707,0.8660159656445944,12.332365491757082,6.649365971831447,19.975219862759815,0,0,fixed
upenn_v3_last,MEAN,29,0.8060445032402808,0.7358055846389978,0.8618383405456591,6.9523695278961855,4.584855732271062,9.774550754045276,,,fixed
ensemble_top5,ET,29,0.7760543538735643,0.6956694501697696,0.8445026260396356,3.205570552523394,1.9591916389488755,4.662427009497424,1,1,fixed
ensemble_top5,TC,29,0.8451786752274657,0.7678201343851374,0.903158688674768,4.223352043152512,2.6970085516181594,6.2371232418869615,1,1,fixed
ensemble_top5,WT,29,0.8180079113413247,0.7628884621671626,0.867751917625758,12.172227536252418,6.577257124186207,19.80732094302317,0,0,fixed
ensemble_top5,MEAN,29,0.8130803134807849,0.7486919737808125,0.8652815191924849,6.8424975589564365,4.502707019168553,9.666948772431295,,,fixed
upenn_v4_best,ET,29,0.7994120233480178,0.7220691240271988,0.864560178836417,2.2259171970294607,1.3859146175650507,3.461409312596664,1,1,fixed
upenn_v4_best,TC,29,0.8504550750352282,0.7735344933781637,0.9143101848920678,3.6066942979863525,2.0768979249171062,5.485181224158535,0,0,fixed
upenn_v4_best,WT,29,0.7714244092793318,0.694868690303714,0.8398207880305641,24.05168463977622,13.582100837077512,35.84794145081919,0,0,fixed
upenn_v4_best,MEAN,29,0.8070971692208592,0.7394797645556255,0.8658191408007105,10.22246544010465,6.641416503884601,14.302991480231313,,,fixed
ensemble_v3_v4,ET,29,0.7976202917593206,0.7264132978662633,0.858858769759631,2.929016793920899,1.6089870899104493,4.580855216225498,0,0,fixed
ensemble_v3_v4,TC,29,0.8571644479932911,0.7844879359791047,0.9141035831650087,3.872922336942031,2.335747902121029,5.721483697459268,0,0,fixed
ensemble_v3_v4,WT,29,0.806299794856784,0.7450217287166799,0.8624834161007319,15.102928141795562,8.280292217757317,22.855867424682266,0,0,fixed
ensemble_v3_v4,MEAN,29,0.8203615115364652,0.7587420659563109,0.8716290379867516,7.301622424219498,4.721035181603838,10.10140644026991,,,fixed
